Model,DPO4034
Firmware Version,2.58

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,100,,,
Horizontal Delay,0,0,0,0
Sample Interval,0.01,,,
Record Length,100000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,2,2,2
Vertical Position,0,2.04,-2.02,-4.02
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.96890e+02,-0.32,0.24,0.04,0.12
-4.96880e+02,-0.24,0.16,0.44,0.12
-4.96870e+02,0,0.24,0.12,0.12
-4.96860e+02,0.08,0.8,1,0.04
-4.96850e+02,-0.64,0.08,-0.44,0.04
-4.96840e+02,-1.12,-0.08,-0.04,0.44
-4.96830e+02,-0.48,0.32,0.76,0.2
-4.96820e+02,-0.56,0.56,1.16,0.12
-4.96810e+02,-0.64,-0.08,1.32,0.28
-4.96800e+02,-0.08,0.32,0.6,0.12
-4.96790e+02,-0.24,1.28,0.12,0.2
-4.96780e+02,0.8,0.56,-0.2,-0.12
-4.96770e+02,0.72,0.32,-0.36,0.04
-4.96760e+02,0,0.24,-0.28,0.2
-4.96750e+02,-0.24,0,-0.68,-0.12
-4.96740e+02,-0.64,-0.16,-0.76,0.04
-4.96730e+02,-0.16,0.24,-0.76,0.44
-4.96720e+02,1.44,0.4,-1.08,-0.12
-4.96710e+02,0.88,-0.24,-0.36,0.12
-4.96700e+02,0.72,-0.24,-1,-0.04
-4.96690e+02,0.32,0.4,-1.4,-0.28
-4.96680e+02,0.16,-0.48,-0.76,-0.12
-4.96670e+02,1.12,-0.16,-1.56,-0.04
-4.96660e+02,1.04,0.08,-0.92,0.04
-4.96650e+02,0.08,1.2,-0.84,0.04
-4.96640e+02,-0.56,0.56,-0.6,0.28
-4.96630e+02,-0.32,0.96,-0.84,0.04
-4.96620e+02,-0.08,0.24,-0.84,0.2
-4.96610e+02,-0.08,-0.48,0.28,0.2
-4.96600e+02,-0.16,0.24,-0.28,-0.04
-4.96590e+02,-0.8,0.88,-0.2,0.04
-4.96580e+02,0.4,0,0.12,0.52
-4.96570e+02,0.96,0.56,-0.2,0.04
-4.96560e+02,-0.08,0.56,-0.04,0.28
-4.96550e+02,-0.24,0.08,-0.04,-0.12
-4.96540e+02,-0.32,-0.56,0.28,-0.04
-4.96530e+02,-0.32,-0.56,0.36,-0.12
-4.96520e+02,-0.24,-0.08,0.04,0.44
-4.96510e+02,-0.72,-0.24,-0.36,0.6
-4.96500e+02,-0.08,1.04,-0.84,0.36
-4.96490e+02,-0.56,0.64,-0.52,0.52
-4.96480e+02,-1.12,0.24,0.2,0.2
-4.96470e+02,-0.16,-0.24,0.12,0.04
-4.96460e+02,-0.8,-0.96,0.92,0.2
-4.96450e+02,-0.4,-0.16,0.68,0.2
-4.96440e+02,-0.48,-0.08,0.36,0.2
-4.96430e+02,-1.12,0.88,0.6,0.44
-4.96420e+02,-1.12,1.76,-0.12,0.2
-4.96410e+02,-1.28,-0.08,-0.04,0.6
-4.96400e+02,-0.4,0.24,0.12,0.2
-4.96390e+02,-0.08,0.24,0.36,-0.04
-4.96380e+02,0.64,-0.48,0.52,0.04
-4.96370e+02,0.96,0.08,0.2,0.04
-4.96360e+02,0.16,0.24,0.52,0.52
-4.96350e+02,0.16,0.24,-0.44,0.36
-4.96340e+02,0.8,-0.88,-0.2,0.44
-4.96330e+02,1.12,-0.32,-0.6,0.36
-4.96320e+02,0.16,-0.96,0.2,0.6
-4.96310e+02,-0.24,-0.08,-0.52,0.52
-4.96300e+02,0.96,-0.24,0.28,0.04
-4.96290e+02,0.72,-0.32,-0.2,0.52
-4.96280e+02,0.4,-0.16,0.44,0.68
-4.96270e+02,0.8,-0.24,0.36,0.52
-4.96260e+02,-0.32,0.16,0.28,1.08
-4.96250e+02,0.08,0.32,0.04,0.6
